emotion,path,duration
neutral,C:\Users\sakth\OneDrive\Desktop\speechemotionrecognition\ravdess\Actor_01\03-01-01-01-01-01-01.wav,3.3032916666666665
neutral,C:\Users\sakth\OneDrive\Desktop\speechemotionrecognition\ravdess\Actor_01\03-01-01-01-01-02-01.wav,3.3366666666666664
neutral,C:\Users\sakth\OneDrive\Desktop\speechemotionrecognition\ravdess\Actor_01\03-01-01-01-02-01-01.wav,3.2699166666666666
neutral,C:\Users\sakth\OneDrive\Desktop\speechemotionrecognition\ravdess\Actor_01\03-01-01-01-02-02-01.wav,3.1698333333333335
calm,C:\Users\sakth\OneDrive\Desktop\speechemotionrecognition\ravdess\Actor_01\03-01-02-01-01-01-01.wav,3.5368541666666666
calm,C:\Users\sakth\OneDrive\Desktop\speechemotionrecognition\ravdess\Actor_01\03-01-02-01-01-02-01.wav,3.6035833333333334
calm,C:\Users\sakth\OneDrive\Desktop\speechemotionrecognition\ravdess\Actor_01\03-01-02-01-02-01-01.wav,3.5035
calm,C:\Users\sakth\OneDrive\Desktop\speechemotionrecognition\ravdess\Actor_01\03-01-02-01-02-02-01.wav,3.4701458333333335
calm,C:\Users\sakth\OneDrive\Desktop\speechemotionrecognition\ravdess\Actor_01\03-01-02-02-01-01-01.wav,3.703708333333333
calm,C:\Users\sakth\OneDrive\Desktop\speechemotionrecognition\ravdess\Actor_01\03-01-02-02-01-02-01.wav,4.004
calm,C:\Users\sakth\OneDrive\Desktop\speechemotionrecognition\ravdess\Actor_01\03-01-02-02-02-01-01.wav,4.204208333333334
calm,C:\Users\sakth\OneDrive\Desktop\speechemotionrecognition\ravdess\Actor_01\03-01-02-02-02-02-01.wav,4.004
happy,C:\Users\sakth\OneDrive\Desktop\speechemotionrecognition\ravdess\Actor_01\03-01-03-01-01-01-01.wav,3.4701458333333335
happy,C:\Users\sakth\OneDrive\Desktop\speechemotionrecognition\ravdess\Actor_01\03-01-03-01-01-02-01.wav,3.470125
happy,C:\Users\sakth\OneDrive\Desktop\speechemotionrecognition\ravdess\Actor_01\03-01-03-01-02-01-01.wav,3.5368541666666666
happy,C:\Users\sakth\OneDrive\Desktop\speechemotionrecognition\ravdess\Actor_01\03-01-03-01-02-02-01.wav,3.703708333333333
happy,C:\Users\sakth\OneDrive\Desktop\speechemotionrecognition\ravdess\Actor_01\03-01-03-02-01-01-01.wav,3.6703333333333332
